location,Basileia,Basileia,Basileia
lat,47.54694,47.54694,47.54694
lon,7.56892,7.56892,7.56892
asl,283.697,283.697,283.697
variable,Temperature,Wind Speed,Wind Direction
unit,°C,km/h,°
level,2 m elevation corrected,10 m,10 m
resolution,hourly,hourly,hourly
aggregation,None,None,None
timestamp,Temperature,Wind Speed,Wind Direction
20241006T1600,17.520529,12.904882,202.98872
20241006T1700,16.660528,10.739833,193.57043
20241006T1800,14.970529,11.5199995,180.0
20241006T1900,14.5505295,10.495713,157.83365
20241006T2000,15.730529,9.957108,139.39871
20241006T2100,16.740528,6.9899354,191.88866
20241006T2200,16.07053,5.7599998,180.0
20241006T2300,15.950529,4.3349743,138.36646
20241007T0000,15.780529,1.835647,101.30993
20241007T0100,15.120529,7.145796,130.91438
20241007T0200,15.090529,6.792466,122.00538
20241007T0300,15.310529,7.5685663,115.34617
20241007T0400,15.940529,8.217153,118.81079
20241007T0500,15.820529,9.659814,116.56505
20241007T0600,15.600529,9.021574,118.61046
20241007T0700,14.630529,8.905908,104.03624
20241007T0800,16.500528,13.1041975,105.9454
20241007T0900,18.500528,16.62249,107.650116
20241007T1000,20.750528,17.58481,112.89055
20241007T1100,23.190529,14.654254,152.1759
20241007T1200,24.240528,9.585739,145.71312
20241007T1300,24.37053,6.830519,108.434944
20241007T1400,24.29053,15.111424,102.38075
20241007T1500,23.90053,16.58346,117.12131
20241007T1600,23.430529,15.0038395,149.74356
20241007T1700,21.72053,14.154915,172.69424
20241007T1800,20.38053,14.982228,144.78241
20241007T1900,19.250528,17.10284,149.65674
20241007T2000,19.98053,19.353138,161.56505
20241007T2100,20.280529,19.809813,160.90651
20241007T2200,20.48053,15.188415,174.55966
20241007T2300,20.670528,8.225035,203.1986
20241008T0000,19.87053,4.6938252,85.60129
20241008T0100,17.610529,13.627795,102.20047
20241008T0200,15.980529,17.654688,110.282555
20241008T0300,14.850529,15.575981,123.69006
20241008T0400,14.250529,11.183201,123.17851
20241008T0500,14.240529,2.3051248,218.65982
20241008T0600,14.450529,13.979872,304.50854
20241008T0700,14.570529,18.888851,277.6668
20241008T0800,13.680529,18.374111,272.24576
20241008T0900,13.540529,11.525623,284.47028
20241008T1000,14.060529,2.2768397,161.56505
20241008T1100,13.620529,6.792466,147.99461
20241008T1200,15.770529,10.739832,230.44034
20241008T1300,15.070529,15.778516,214.77783
20241008T1400,13.8005295,15.990646,211.18497
20241008T1500,14.620529,4.0249224,169.69516
20241008T1600,15.690529,7.42159,194.03624
20241008T1700,14.900529,7.9526596,174.80557
20241008T1800,12.890529,10.8955765,172.40535
20241008T1900,12.670529,9.726665,177.8789
20241008T2000,11.860529,7.5942073,174.55966
20241008T2100,11.480529,8.669949,131.63353
20241008T2200,11.350529,10.587918,125.31121
20241008T2300,9.770529,11.304229,127.23483
20241009T0000,11.810529,10.182337,135.0
20241009T0100,12.650529,11.592895,154.23067
20241009T0200,12.820529,12.287555,174.95755
20241009T0300,12.580529,13.441071,172.30396
20241009T0400,12.720529,13.202726,154.13364
